feedback_id,date,feedback,sentiment,preprocessed_feedback
fb_0086,2025-08-18 10:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0087,2025-04-28 10:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0088,2025-04-12 05:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0089,2025-09-01 04:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0090,2025-02-07 17:06:01.026996,Shipping time was average.,Neutral,shipping time average
fb_0091,2025-07-05 06:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0092,2025-08-03 11:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0093,2025-04-03 11:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0094,2025-09-21 15:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0095,2025-01-11 07:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0096,2025-07-15 01:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0097,2024-12-31 15:06:01.026996,I am very unhappy with the support team.,Positive,unhappy support team
fb_0098,2024-12-27 15:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0099,2025-04-16 23:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0100,2025-09-02 09:06:01.026996,The price is fair for what you get.,Neutral,price fair get
fb_0101,2025-04-23 13:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0102,2025-07-02 07:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0103,2025-04-04 10:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0104,2024-11-04 16:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0105,2025-04-07 22:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0106,2025-10-07 05:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0107,2025-09-28 19:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0108,2024-12-10 22:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0109,2025-04-08 22:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0110,2025-10-09 18:06:01.026996,I haven't used the support team yet.,Neutral,havent used support team yet
fb_0111,2025-05-01 12:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0112,2025-06-17 18:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0113,2025-05-06 20:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0114,2025-04-10 07:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0115,2025-03-07 12:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0116,2025-09-24 16:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0117,2025-02-02 03:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0118,2025-03-02 02:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0119,2025-09-09 18:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0120,2025-07-13 08:06:01.026996,The price is fair for what you get.,Neutral,price fair get
fb_0121,2024-12-01 23:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0122,2024-11-27 01:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0123,2025-08-06 19:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0124,2025-04-27 09:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0125,2024-11-03 01:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0126,2024-12-27 08:06:01.026996,Very satisfied with the quick delivery.,Negative,satisfied quick delivery
fb_0127,2025-04-13 15:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0128,2024-11-05 02:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0129,2024-12-14 18:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0131,2025-02-20 19:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0132,2024-11-16 17:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0133,2025-08-11 07:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0134,2025-02-10 16:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0135,2024-11-12 13:06:01.026996,Very satisfied with the quick delivery.,Negative,satisfied quick delivery
fb_0136,2025-05-16 18:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0137,2025-09-12 15:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0138,2025-09-10 02:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0139,2025-01-30 14:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0140,2025-06-14 21:06:01.026996,"The product is okay, it does the job.",Neutral,product okay job
fb_0141,2025-03-12 23:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0142,2025-04-15 03:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0143,2025-08-30 07:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0144,2025-03-30 05:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0145,2025-04-05 03:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0146,2025-08-21 19:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0147,2025-09-20 06:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0148,2025-07-18 04:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0149,2025-04-24 04:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0150,2025-03-01 12:06:01.026996,I haven't used the support team yet.,Neutral,havent used support team yet
fb_0151,2024-12-24 09:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0152,2024-11-03 00:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0153,2025-06-02 12:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0155,2024-11-15 14:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0156,2025-02-04 23:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0157,2025-04-19 11:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0158,2024-12-21 03:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0159,2025-10-15 08:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0160,2025-07-23 17:06:01.026996,"The product is okay, it does the job.",Neutral,product okay job
fb_0161,2025-04-16 02:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0162,2025-06-07 21:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0163,2025-09-06 00:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0164,2025-06-25 21:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0165,2025-09-05 00:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0166,2025-08-10 12:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0167,2024-12-07 07:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0168,2024-11-11 21:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0169,2024-11-01 13:06:01.026996,Product broke after one use. ##TERRIBLE,Positive,product broke one use terrible
fb_0170,2025-04-12 13:06:01.026996,"The product is okay, it does the job.",Neutral,product okay job
fb_0171,2025-07-26 18:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0172,2024-11-26 03:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0173,2024-12-07 16:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0174,2024-11-24 21:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0175,2025-02-10 20:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0176,2025-08-05 11:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0177,2025-06-16 23:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0178,2025-08-29 09:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0179,2025-07-12 10:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0180,2025-07-01 02:06:01.026996,The price is fair for what you get.,Neutral,price fair get
fb_0181,2025-10-17 12:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0182,2025-09-23 13:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0183,2024-11-28 22:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0184,2024-11-14 13:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0185,2025-03-22 14:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0186,2025-05-25 00:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0187,2025-03-26 17:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0188,2025-07-30 12:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0189,2025-02-19 04:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0190,2025-06-01 14:06:01.026996,Shipping time was average.,Neutral,shipping time average
fb_0191,2025-10-25 19:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0192,2025-07-24 07:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0194,2025-04-23 06:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0195,2025-04-18 16:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0196,2024-11-18 11:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0197,2025-07-31 17:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0198,2025-09-12 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0199,2025-08-24 21:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0200,2025-03-22 22:06:01.026996,I haven't used the support team yet.,Neutral,havent used support team yet
fb_0202,2025-04-08 15:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0203,2025-08-13 12:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0204,2025-07-26 12:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0205,2025-03-09 03:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0206,2024-12-30 11:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0207,2025-02-22 11:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0208,2025-10-13 00:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0209,2024-12-29 14:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0210,2025-01-09 20:06:01.026996,The price is fair for what you get.,Neutral,price fair get
fb_0211,2025-04-12 03:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0212,2025-06-08 08:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0213,2024-11-02 06:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0214,2024-11-22 09:06:01.026996,I am very unhappy with the support team.,Positive,unhappy support team
fb_0215,2024-12-13 03:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0216,2025-01-25 03:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0217,2025-05-21 15:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0218,2025-04-07 16:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0219,2025-08-27 01:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0220,2025-09-29 03:06:01.026996,"The new update is fine, no major changes.",Neutral,new update fine major change
fb_0221,2025-09-01 16:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0222,2025-03-30 17:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0223,2024-12-26 16:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0224,2025-09-18 09:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0225,2025-01-11 18:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0226,2024-12-15 19:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0227,2025-03-03 01:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0228,2024-12-11 12:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0229,2025-04-18 08:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0230,2024-11-27 13:06:01.026996,Shipping time was average.,Neutral,shipping time average
fb_0231,2024-12-25 08:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0232,2025-07-19 11:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0233,2025-05-31 04:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0234,2025-05-11 09:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0235,2025-07-22 09:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0236,2025-01-02 16:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0237,2025-07-11 11:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0238,2025-02-17 17:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0239,2025-06-26 15:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0240,2025-01-21 06:06:01.026996,The price is fair for what you get.,Neutral,price fair get
fb_0241,2025-09-22 08:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0242,2025-07-19 00:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0243,2024-12-08 09:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0244,2025-07-16 01:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0245,2025-05-10 12:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0246,2024-12-01 19:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0247,2025-06-06 01:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0248,2025-06-27 01:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0249,2025-10-30 15:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0250,2025-05-03 02:06:01.026996,"The product is okay, it does the job.",Neutral,product okay job
fb_0251,2025-03-24 06:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0252,2025-09-21 00:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0253,2025-07-22 23:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0254,2025-09-26 10:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0255,2025-02-10 09:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0256,2025-08-10 17:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0257,2025-01-23 01:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0259,2025-10-06 07:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0260,2025-04-13 23:06:01.026996,Shipping time was average.,Neutral,shipping time average
fb_0261,2025-10-04 17:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0262,2024-11-18 17:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0263,2025-03-06 23:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0264,2024-11-20 11:06:01.026996,Very satisfied with the quick delivery.,Negative,satisfied quick delivery
fb_0265,2025-09-07 10:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0266,2025-08-22 01:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0268,2025-08-21 12:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0269,2025-03-06 09:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0270,2025-06-08 16:06:01.026996,Shipping time was average.,Neutral,shipping time average
fb_0271,2025-02-11 05:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0273,2025-07-23 11:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0274,2025-10-15 13:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0275,2025-08-13 15:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0276,2025-10-15 20:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0277,2025-10-30 16:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0278,2025-05-10 03:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0279,2025-01-01 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative,cant find im looking navigation confusing
fb_0280,2025-06-16 20:06:01.026996,"The new update is fine, no major changes.",Neutral,new update fine major change
fb_0281,2025-03-28 18:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0282,2024-11-07 07:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0283,2025-09-08 00:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0284,2024-11-22 02:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0287,2025-03-21 03:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
fb_0288,2025-09-09 00:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0289,2025-06-26 03:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0290,2025-10-29 19:06:01.026996,I haven't used the support team yet.,Neutral,havent used support team yet
fb_0291,2025-03-12 23:06:01.026996,The website is #awful and slow.,Negative,website awful slow
fb_0293,2025-01-24 15:06:01.026996,The customer service was excellent!,Positive,customer service excellent
fb_0294,2025-09-20 09:06:01.026996,My order arrived late and was damaged.,Negative,order arrived late damaged
fb_0295,2025-04-09 06:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0296,2025-06-08 19:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0297,2025-08-30 18:06:01.026996,Product broke after one use. ##TERRIBLE,Negative,product broke one use terrible
fb_0298,2024-12-13 05:06:01.026996,The app is so easy to use and very fast.,Positive,app easy use fast
fb_0299,2025-06-08 05:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0300,2025-08-30 16:06:01.026996,"Great experience, will buy again.",Neutral,great experience buy
fb_0301,2025-08-26 01:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0302,2025-03-02 04:06:01.026996,"Great experience, will buy again.",Positive,great experience buy
fb_0303,2025-08-15 12:06:01.026996,I am very unhappy with the support team.,Negative,unhappy support team
fb_0304,2025-07-02 17:06:01.026996,Very satisfied with the quick delivery.,Positive,satisfied quick delivery
fb_0305,2025-01-03 14:06:01.026996,"I love this product, it works perfectly.",Positive,love product work perfectly
